time,Fx,Fy,Fz
2.89401,0.0348772,0.619071,-0.392369
2.89402,0.0610352,0.967843,-0.261579
2.89403,0.0784738,0.610352,-0.348772
2.89404,0.0610352,0.139509,-0.418527
2.89405,0.0174386,0.174386,-0.392369
2.89406,0.0871931,0.488281,-0.331334
2.89407,0.139509,0.776018,-0.226702
2.89408,0.174386,0.0610352,-0.313895
2.89409,0.148228,0.209263,-0.392369
2.8941,0.0697545,0.217983,-0.270299
2.89411,0,-0.0871931,-0.191825
2.89412,0.0959124,0.305176,-0.261579
2.89413,0.13079,-0.235421,-0.470843
2.89414,0.0348772,-0.183105,-0.462123
2.89415,0.0697545,0.348772,-0.470843
2.89416,0.156948,0,-0.453404
2.89417,0.113351,0.25286,-0.366211
2.89418,0.0959124,0.331334,-0.38365
2.89419,0.0610352,0.209263,-0.287737
2.8942,0.0610352,-0.0174386,-0.209263
2.89421,0.13079,-0.287737,-0.25286
2.89422,0.0435965,0.261579,-0.279018
2.89423,0.191825,0.12207,-0.287737
2.89424,0.296456,-0.0871931,-0.270299
2.89425,0.0697545,0.191825,-0.25286
2.89426,-0.0174386,0.558036,-0.244141
2.89427,0.0174386,0.50572,-0.13079
2.89428,0.0261579,0.0523158,-0.0784738
2.89429,0.0784738,-0.0959124,-0.296456
2.8943,0.139509,-0.113351,-0.313895
2.89431,0.174386,0.348772,0.00871931
2.89432,0.0959124,0.584194,-0.235421
2.89433,0.00871931,0.25286,-0.401088
2.89434,-0.0959124,0.209263,0.0261579
2.89435,-0.0174386,0.156948,-0.174386
2.89436,0.0348772,0.348772,-0.226702
2.89437,0.113351,0.784738,-0.12207
2.89438,0.191825,0.418527,-0.279018
2.89439,-0.0174386,0.209263,-0.244141
2.8944,-0.0174386,0.366211,-0.296456
2.89441,0.0871931,0.37493,-0.322614
2.89442,0.0261579,0.435965,-0.348772
2.89443,-0.0871931,0.610352,-0.418527
2.89444,0.0523158,0.50572,-0.444685
2.89445,0.0959124,0.331334,-0.183105
2.89446,0.0697545,0.270299,-0.270299
2.89447,0.0435965,0.0174386,-0.0784738
2.89448,0.0261579,0.523158,-0.0523158
2.89449,0.0871931,0.217983,-0.348772
2.8945,-0.0174386,0.191825,-0.139509
2.89451,0.0174386,0.549316,-0.37493
2.89452,-0.0871931,0.37493,-0.156948
2.89453,-0.104632,0.418527,-0.287737
2.89454,-0.104632,-0.0610352,-0.453404
2.89455,-0.0261579,0.165667,-0.296456
2.89456,0.261579,-0.0261579,-0.296456
2.89457,0,0,-0.0871931
2.89458,-0.0348772,0.50572,-0.165667
2.89459,-0.0697545,0.453404,-0.174386
2.8946,-0.00871931,0.409808,-0.444685
2.89461,0.0784738,0.619071,-0.270299
2.89462,-0.113351,0.898089,0.00871931
2.89463,0.104632,0.409808,-0.244141
2.89464,0.0261579,0.453404,-0.183105
2.89465,-0.00871931,0.697545,-0.244141
2.89466,0.12207,0.619071,-0.366211
2.89467,0.0610352,0.671387,-0.174386
2.89468,0.0523158,0.688825,-0.113351
2.89469,0.0435965,0.366211,-0.270299
2.8947,-0.156948,0.366211,-0.366211
2.89471,-0.209263,0.479562,-0.340053
2.89472,-0.0784738,0.165667,-0.287737
2.89473,-0.156948,0.209263,-0.226702
2.89474,0.00871931,0.148228,-0.0610352
2.89475,0.0523158,0.0261579,-0.200544
2.89476,-0.0174386,0.0871931,-0.279018
2.89477,-0.0348772,0.226702,-0.244141
2.89478,-0.00871931,0.0435965,-0.37493
2.89479,0.287737,0.13079,-0.313895
2.8948,0.174386,0.37493,-0.183105
2.89481,0.0610352,-0.235421,-0.217983
2.89482,0.0784738,-0.191825,-0.244141
2.89483,0.174386,-0.235421,-0.287737
2.89484,0.392369,-0.226702,-0.296456
2.89485,0.183105,0.444685,-0.209263
2.89486,0.183105,0.209263,-0.313895
